,Year,Death_Cause,State,Deaths
0,2000,Suicide,District of Columbia,23
1,2009,Suicide,District of Columbia,29
2,2015,Suicide,District of Columbia,34
3,2006,Suicide,District of Columbia,30
4,2002,Suicide,District of Columbia,31
5,2005,Suicide,District of Columbia,33
6,2004,Suicide,District of Columbia,33
7,2011,Suicide,District of Columbia,37
8,2013,Suicide,District of Columbia,38
9,2012,Suicide,District of Columbia,37
10,2003,Suicide,New York,1169
11,2000,Suicide,New York,1132
12,2007,Suicide,District of Columbia,36
13,2005,Suicide,New York,1189
14,2004,Suicide,New York,1187
15,2005,Suicide,New Jersey,536
16,2003,Suicide,District of Columbia,36
17,2009,Suicide,New Jersey,557
18,2005,Suicide,Rhode Island,71
19,2002,Suicide,New Jersey,553
20,2002,Suicide,New York,1228
21,2006,Suicide,New Jersey,585
22,2001,Suicide,District of Columbia,40
23,2001,Suicide,New York,1253
24,2000,Suicide,New Jersey,560
25,2007,Suicide,New Jersey,596
26,2006,Suicide,New York,1326
27,2003,Suicide,New Jersey,588
28,2008,Suicide,New Jersey,615
29,2004,Suicide,New Jersey,597
30,2001,Suicide,New Jersey,588
31,2010,Suicide,District of Columbia,41
32,2009,Suicide,New York,1417
33,2008,Suicide,New York,1409
34,2007,Suicide,New York,1396
35,2000,Suicide,Rhode Island,75
36,2008,Suicide,District of Columbia,43
37,2007,Suicide,Connecticut,271
38,2002,Suicide,Connecticut,260
39,2012,Suicide,New Jersey,683
40,2011,Suicide,New Jersey,689
41,2003,Suicide,Connecticut,272
42,2004,Suicide,Rhode Island,85
43,2010,Suicide,New Jersey,719
44,2010,Suicide,New York,1547
45,2003,Suicide,Rhode Island,84
46,2015,Suicide,New York,1652
47,2014,Suicide,District of Columbia,52
48,2006,Suicide,Illinois,1010
49,2002,Suicide,Rhode Island,86
50,2013,Suicide,New Jersey,757
51,2006,Suicide,Connecticut,292
52,2003,Suicide,Illinois,1011
53,2014,Suicide,New York,1700
54,2013,Suicide,New York,1687
55,2005,Suicide,Connecticut,295
56,2004,Suicide,Illinois,1028
57,2001,Suicide,Connecticut,283
58,2001,Suicide,Rhode Island,88
59,2000,Suicide,Illinois,1003
60,2011,Suicide,New York,1658
61,2006,Suicide,Rhode Island,90
62,2004,Suicide,Connecticut,294
63,2015,Suicide,New Jersey,789
64,2014,Suicide,New Jersey,786
65,2012,Suicide,New York,1708
66,2010,Suicide,Maryland,502
67,2005,Suicide,Maryland,472
68,2001,Suicide,Maryland,454
69,2009,Suicide,Connecticut,316
70,2008,Suicide,Connecticut,315
71,2001,Suicide,California,2831
72,2007,Suicide,Illinois,1108
73,2006,Suicide,Maryland,495
74,2005,Suicide,Illinois,1086
75,2013,Suicide,Connecticut,330
76,2008,Suicide,Maryland,507
77,2015,Suicide,Maryland,553
78,2007,Suicide,Rhode Island,96
79,2004,Suicide,Maryland,500
80,2002,Suicide,Maryland,477
81,2000,Suicide,Connecticut,304
82,2011,Suicide,Rhode Island,101
83,2003,Suicide,Maryland,491
84,2010,Suicide,Illinois,1178
85,2007,Suicide,Maryland,518
86,2000,Suicide,Maryland,474
87,2009,Suicide,Illinois,1177
88,2005,Suicide,California,3206
89,2000,Suicide,California,2969
90,2013,Suicide,Maryland,569
91,2011,Suicide,Maryland,558
92,2002,Suicide,Illinois,1145
93,2001,Suicide,Illinois,1139
94,2011,Suicide,Illinois,1226
95,2009,Suicide,Maryland,551
96,2008,Suicide,Illinois,1198
97,2006,Suicide,California,3334
98,2010,Suicide,Connecticut,353
99,2012,Suicide,Maryland,583
100,2012,Suicide,Rhode Island,105
101,2002,Suicide,California,3228
102,2004,Suicide,California,3368
103,2014,Suicide,Connecticut,379
104,2014,Suicide,Maryland,606
105,2012,Suicide,Illinois,1292
106,2011,Suicide,Connecticut,370
107,2015,Suicide,Connecticut,384
108,2013,Suicide,Illinois,1321
109,2012,Suicide,Connecticut,368
110,2008,Suicide,Rhode Island,110
111,2007,Suicide,California,3602
112,2003,Suicide,California,3397
113,2012,Suicide,California,3893
114,2014,Suicide,Rhode Island,113
115,2013,Suicide,California,4025
116,2009,Suicide,California,3823
117,2015,Suicide,California,4167
118,2015,Suicide,Illinois,1363
119,2010,Suicide,California,3913
120,2008,Suicide,California,3775
121,2011,Suicide,California,3996
122,2014,Suicide,California,4214
123,2014,Suicide,Illinois,1398
124,2009,Suicide,Rhode Island,118
125,2015,Suicide,Rhode Island,127
126,2013,Suicide,Rhode Island,132
127,2010,Suicide,Rhode Island,129
